Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [3][100/112]	L_Src_Sup 2.8174e-01 (7.6034e-01)	L_Trg_Inj 1.5024e-01 (6.1597e-01)	Loss Disc 6.9166e-01 (6.9122e-01)	Loss Pred 9.1530e-01 (9.5867e-01)	Loss TOTAL 1.4358e+00 (1.5912e+00)
Epoch: [3][110/112]	L_Src_Sup 2.7078e-01 (7.3679e-01)	L_Trg_Inj 2.0294e-01 (5.9211e-01)	Loss Disc 6.9235e-01 (6.9127e-01)	Loss Pred 9.0995e-01 (9.5425e-01)	Loss TOTAL 1.3713e+00 (1.5840e+00)
Epoch: [3][112/112]	L_Src_Sup 3.6866e-01 (7.3036e-01)	L_Trg_Inj 2.8019e-01 (5.8511e-01)	Loss Disc 6.9195e-01 (6.9128e-01)	Loss Pred 9.0318e-01 (9.5333e-01)	Loss TOTAL 1.4025e+00 (1.5822e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 2.9426e-01 (9.5398e-01)	L_Trg_Inj 3.2805e-01 (9.7463e-01)	Loss Disc 6.8961e-01 (6.9179e-01)	Loss Pred 8.9695e-01 (8.9877e-01)	Loss TOTAL 1.3040e+00 (1.4805e+00)
Epoch: [4][ 20/112]	L_Src_Sup 7.9297e-01 (6.4845e-01)	L_Trg_Inj 8.1214e-01 (5.8002e-01)	Loss Disc 6.8548e-01 (6.8765e-01)	Loss Pred 8.8437e-01 (8.9329e-01)	Loss TOTAL 1.3876e+00 (1.4627e+00)
Epoch: [4][ 30/112]	L_Src_Sup 2.0554e-01 (5.3616e-01)	L_Trg_Inj 6.9749e-02 (4.7444e-01)	Loss Disc 6.7772e-01 (6.8442e-01)	Loss Pred 8.7774e-01 (8.9000e-01)	Loss TOTAL 1.3799e+00 (1.4256e+00)
Epoch: [4][ 40/112]	L_Src_Sup 2.6075e-01 (4.9020e-01)	L_Trg_Inj 4.5880e-01 (4.3897e-01)	Loss Disc 6.7395e-01 (6.8222e-01)	Loss Pred 8.8079e-01 (8.8609e-01)	Loss TOTAL 1.2897e+00 (1.4159e+00)
Epoch: [4][ 50/112]	L_Src_Sup 1.4722e-01 (4.6189e-01)	L_Trg_Inj 4.0294e-02 (4.1934e-01)	Loss Disc 6.9094e-01 (6.8448e-01)	Loss Pred 8.5993e-01 (8.8199e-01)	Loss TOTAL 1.3311e+00 (1.4048e+00)
Epoch: [4][ 60/112]	L_Src_Sup 2.4494e-01 (4.3445e-01)	L_Trg_Inj 1.7337e-01 (3.7780e-01)	Loss Disc 6.8882e-01 (6.8487e-01)	Loss Pred 8.6943e-01 (8.7933e-01)	Loss TOTAL 1.3272e+00 (1.4026e+00)
Epoch: [4][ 70/112]	L_Src_Sup 2.4052e-01 (4.0190e-01)	L_Trg_Inj 6.2042e-02 (3.3352e-01)	Loss Disc 6.9281e-01 (6.8580e-01)	Loss Pred 8.2938e-01 (8.7549e-01)	Loss TOTAL 1.3845e+00 (1.3971e+00)
Epoch: [4][ 80/112]	L_Src_Sup 3.5125e-01 (3.8183e-01)	L_Trg_Inj 4.6119e-01 (3.0433e-01)	Loss Disc 6.9278e-01 (6.8663e-01)	Loss Pred 8.4520e-01 (8.7190e-01)	Loss TOTAL 1.2728e+00 (1.3953e+00)
Epoch: [4][ 90/112]	L_Src_Sup 1.2041e-01 (4.0035e-01)	L_Trg_Inj 7.4255e-03 (3.3959e-01)	Loss Disc 6.8482e-01 (6.8713e-01)	Loss Pred 8.3931e-01 (8.6845e-01)	Loss TOTAL 1.3075e+00 (1.3891e+00)
Epoch: [4][100/112]	L_Src_Sup 5.3903e-01 (4.0540e-01)	L_Trg_Inj 3.7586e-01 (3.4813e-01)	Loss Disc 6.8685e-01 (6.8717e-01)	Loss Pred 8.3888e-01 (8.6512e-01)	Loss TOTAL 1.4370e+00 (1.3857e+00)
Epoch: [4][110/112]	L_Src_Sup 1.9688e-01 (3.9990e-01)	L_Trg_Inj 1.1492e-01 (3.5065e-01)	Loss Disc 6.6263e-01 (6.8548e-01)	Loss Pred 8.2193e-01 (8.6108e-01)	Loss TOTAL 1.2664e+00 (1.3793e+00)
