Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.442593226780509, std[0]=1.2340775789629297)
Loading Target Train...
Epoch: [3][ 60/112]	L_Src_Sup 3.5282e-01 (2.2048e-01)	L_Trg_Inj 3.1910e-01 (4.9920e-01)	Loss Disc 6.8976e-01 (6.8360e-01)	Loss Pred 9.3465e-01 (9.6952e-01)	Loss TOTAL 1.3804e+00 (1.3862e+00)
Epoch: [3][ 70/112]	L_Src_Sup 1.3331e-01 (2.1887e-01)	L_Trg_Inj 4.8674e-01 (5.0081e-01)	Loss Disc 6.8350e-01 (6.8348e-01)	Loss Pred 9.2189e-01 (9.6370e-01)	Loss TOTAL 1.3256e+00 (1.3803e+00)
Epoch: [3][ 80/112]	L_Src_Sup 2.8549e-01 (2.1228e-01)	L_Trg_Inj 4.6239e-01 (5.0002e-01)	Loss Disc 6.8467e-01 (6.8346e-01)	Loss Pred 9.1784e-01 (9.5782e-01)	Loss TOTAL 1.3350e+00 (1.3733e+00)
Epoch: [3][ 90/112]	L_Src_Sup 0.0000e+00 (2.0373e-01)	L_Trg_Inj 5.1495e-01 (4.9365e-01)	Loss Disc 6.8356e-01 (6.8371e-01)	Loss Pred 8.9743e-01 (9.5220e-01)	Loss TOTAL 1.2907e+00 (1.3660e+00)
Epoch: [3][100/112]	L_Src_Sup 2.8577e-01 (2.0938e-01)	L_Trg_Inj 1.6201e-01 (4.8424e-01)	Loss Disc 6.8961e-01 (6.8386e-01)	Loss Pred 8.8825e-01 (9.4677e-01)	Loss TOTAL 1.4016e+00 (1.3613e+00)
Epoch: [3][110/112]	L_Src_Sup 2.1081e-01 (2.1379e-01)	L_Trg_Inj 3.8694e-01 (4.8393e-01)	Loss Disc 6.8872e-01 (6.8406e-01)	Loss Pred 8.8577e-01 (9.4123e-01)	Loss TOTAL 1.2899e+00 (1.3582e+00)
Epoch: [3][112/112]	L_Src_Sup 1.1075e-01 (2.1320e-01)	L_Trg_Inj 3.8688e-01 (4.8261e-01)	Loss Disc 6.8830e-01 (6.8412e-01)	Loss Pred 8.8206e-01 (9.4016e-01)	Loss TOTAL 1.2760e+00 (1.3568e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 4.0123e-01 (3.2525e-01)	L_Trg_Inj 3.7189e-01 (4.7152e-01)	Loss Disc 6.8916e-01 (6.8596e-01)	Loss Pred 8.4807e-01 (8.7073e-01)	Loss TOTAL 1.2993e+00 (1.3325e+00)
Epoch: [4][ 20/112]	L_Src_Sup 1.1754e-01 (2.5532e-01)	L_Trg_Inj 4.4931e-01 (5.1380e-01)	Loss Disc 6.8711e-01 (6.8452e-01)	Loss Pred 8.6030e-01 (8.6755e-01)	Loss TOTAL 1.2605e+00 (1.3063e+00)
Epoch: [4][ 30/112]	L_Src_Sup 1.8155e-01 (2.3325e-01)	L_Trg_Inj 4.1619e-01 (4.9997e-01)	Loss Disc 6.8760e-01 (6.8495e-01)	Loss Pred 8.3777e-01 (8.6302e-01)	Loss TOTAL 1.2413e+00 (1.2919e+00)
Epoch: [4][ 40/112]	L_Src_Sup 4.2124e-01 (2.3062e-01)	L_Trg_Inj 4.0023e-01 (4.9077e-01)	Loss Disc 6.8846e-01 (6.8527e-01)	Loss Pred 8.4582e-01 (8.5749e-01)	Loss TOTAL 1.2932e+00 (1.2826e+00)
