Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.743648330487297, std[0]=0.9335744483783562)
Loading Target Train...
Epoch: [6][ 20/112]	L_Src_Sup 1.7407e-01 (1.9689e-01)	L_Trg_Inj 2.1942e-01 (2.6404e-01)	Loss Disc 6.9167e-01 (6.9085e-01)	Loss Pred 4.8573e-01 (4.9276e-01)	Loss TOTAL 8.7091e-01 (8.8914e-01)
Epoch: [6][ 30/112]	L_Src_Sup 1.6523e-01 (1.9593e-01)	L_Trg_Inj 2.8191e-01 (2.7434e-01)	Loss Disc 6.9088e-01 (6.9073e-01)	Loss Pred 5.0758e-01 (4.9494e-01)	Loss TOTAL 8.9773e-01 (8.9239e-01)
Epoch: [6][ 40/112]	L_Src_Sup 1.6836e-01 (2.0082e-01)	L_Trg_Inj 3.1274e-01 (2.8174e-01)	Loss Disc 6.8922e-01 (6.9059e-01)	Loss Pred 4.4620e-01 (4.9266e-01)	Loss TOTAL 8.3893e-01 (8.9001e-01)
Epoch: [6][ 50/112]	L_Src_Sup 2.0850e-01 (2.0178e-01)	L_Trg_Inj 2.1381e-01 (2.8958e-01)	Loss Disc 6.9357e-01 (6.9061e-01)	Loss Pred 5.2033e-01 (4.9040e-01)	Loss TOTAL 9.0934e-01 (8.8787e-01)
Epoch: [6][ 60/112]	L_Src_Sup 1.4180e-01 (2.0538e-01)	L_Trg_Inj 1.7158e-01 (2.8262e-01)	Loss Disc 6.9254e-01 (6.9074e-01)	Loss Pred 4.8311e-01 (4.9127e-01)	Loss TOTAL 8.6072e-01 (8.9118e-01)
Epoch: [6][ 70/112]	L_Src_Sup 1.8794e-01 (2.0638e-01)	L_Trg_Inj 3.1128e-01 (2.8479e-01)	Loss Disc 6.9163e-01 (6.9076e-01)	Loss Pred 5.2118e-01 (4.9129e-01)	Loss TOTAL 9.1692e-01 (8.9191e-01)
Epoch: [6][ 80/112]	L_Src_Sup 9.1564e-02 (2.0259e-01)	L_Trg_Inj 2.6547e-01 (2.8395e-01)	Loss Disc 6.9137e-01 (6.9080e-01)	Loss Pred 4.8806e-01 (4.9088e-01)	Loss TOTAL 8.6944e-01 (8.9157e-01)
Epoch: [6][ 90/112]	L_Src_Sup 1.9005e-01 (2.0088e-01)	L_Trg_Inj 2.4866e-01 (2.8348e-01)	Loss Disc 6.9102e-01 (6.9084e-01)	Loss Pred 5.3339e-01 (4.9194e-01)	Loss TOTAL 9.2277e-01 (8.9178e-01)
Epoch: [6][100/112]	L_Src_Sup 1.8078e-01 (1.9945e-01)	L_Trg_Inj 2.5829e-01 (2.8826e-01)	Loss Disc 6.9051e-01 (6.9079e-01)	Loss Pred 4.8208e-01 (4.9148e-01)	Loss TOTAL 8.7124e-01 (8.9104e-01)
Epoch: [6][110/112]	L_Src_Sup 2.1965e-01 (2.0033e-01)	L_Trg_Inj 2.7969e-01 (2.8692e-01)	Loss Disc 6.9141e-01 (6.9075e-01)	Loss Pred 5.0185e-01 (4.9206e-01)	Loss TOTAL 8.9749e-01 (8.9162e-01)
Epoch: [6][112/112]	L_Src_Sup 1.4374e-01 (1.9977e-01)	L_Trg_Inj 2.7956e-01 (2.8693e-01)	Loss Disc 6.9051e-01 (6.9073e-01)	Loss Pred 4.8177e-01 (4.9180e-01)	Loss TOTAL 8.6936e-01 (8.9120e-01)
Epoch 6 complete. Saving model state...
