Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.250739126206178, std[0]=0.4471005807248076)
Loading Target Train...
Epoch: [4][ 50/112]	L_Src_Sup 1.3341e-01 (2.4730e-01)	L_Trg_Inj 5.0756e-01 (4.8234e-01)	Loss Disc 6.8349e-01 (6.8435e-01)	Loss Pred 8.3760e-01 (8.6683e-01)	Loss TOTAL 1.2434e+00 (1.3021e+00)
Epoch: [4][ 60/112]	L_Src_Sup 3.1154e-01 (2.4851e-01)	L_Trg_Inj 5.3699e-01 (4.8427e-01)	Loss Disc 6.8264e-01 (6.8422e-01)	Loss Pred 8.2328e-01 (8.6199e-01)	Loss TOTAL 1.2494e+00 (1.2966e+00)
Epoch: [4][ 70/112]	L_Src_Sup 2.0665e-01 (2.3043e-01)	L_Trg_Inj 3.6813e-01 (4.8595e-01)	Loss Disc 6.8787e-01 (6.8419e-01)	Loss Pred 8.2374e-01 (8.5622e-01)	Loss TOTAL 1.2252e+00 (1.2865e+00)
Epoch: [4][ 80/112]	L_Src_Sup 1.1240e-01 (2.3929e-01)	L_Trg_Inj 5.2939e-01 (4.8899e-01)	Loss Disc 6.8311e-01 (6.8421e-01)	Loss Pred 8.1731e-01 (8.5105e-01)	Loss TOTAL 1.2230e+00 (1.2854e+00)
Epoch: [4][ 90/112]	L_Src_Sup 2.2268e-01 (2.2862e-01)	L_Trg_Inj 4.6491e-01 (4.9191e-01)	Loss Disc 6.8553e-01 (6.8413e-01)	Loss Pred 8.0826e-01 (8.4584e-01)	Loss TOTAL 1.2198e+00 (1.2772e+00)
Epoch: [4][100/112]	L_Src_Sup 3.4944e-01 (2.2437e-01)	L_Trg_Inj 3.5728e-01 (4.8953e-01)	Loss Disc 6.8893e-01 (6.8421e-01)	Loss Pred 8.1472e-01 (8.4065e-01)	Loss TOTAL 1.2299e+00 (1.2698e+00)
Epoch: [4][110/112]	L_Src_Sup 4.7267e-01 (2.1565e-01)	L_Trg_Inj 4.5331e-01 (4.8389e-01)	Loss Disc 6.8552e-01 (6.8437e-01)	Loss Pred 7.8779e-01 (8.3588e-01)	Loss TOTAL 1.2425e+00 (1.2641e+00)
Epoch: [4][112/112]	L_Src_Sup 1.1779e-01 (2.1529e-01)	L_Trg_Inj 4.7899e-01 (4.8410e-01)	Loss Disc 6.8423e-01 (6.8436e-01)	Loss Pred 7.8626e-01 (8.3515e-01)	Loss TOTAL 1.1881e+00 (1.2630e+00)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/112]	L_Src_Sup 3.6378e-01 (1.5842e-01)	L_Trg_Inj 5.2518e-01 (5.0089e-01)	Loss Disc 6.7987e-01 (6.8281e-01)	Loss Pred 7.5794e-01 (7.8140e-01)	Loss TOTAL 1.1868e+00 (1.1887e+00)
Epoch: [5][ 20/112]	L_Src_Sup 0.0000e+00 (1.4160e-01)	L_Trg_Inj 4.5890e-01 (4.4653e-01)	Loss Disc 6.8396e-01 (6.8552e-01)	Loss Pred 7.6642e-01 (7.7663e-01)	Loss TOTAL 1.1543e+00 (1.1841e+00)
Epoch: [5][ 30/112]	L_Src_Sup 2.3243e-01 (1.7432e-01)	L_Trg_Inj 4.8831e-01 (4.4951e-01)	Loss Disc 6.8320e-01 (6.8526e-01)	Loss Pred 7.9459e-01 (7.7325e-01)	Loss TOTAL 1.2083e+00 (1.1877e+00)
Epoch: [5][ 40/112]	L_Src_Sup 1.1185e-01 (1.8042e-01)	L_Trg_Inj 4.3639e-01 (4.4052e-01)	Loss Disc 6.8503e-01 (6.8542e-01)	Loss Pred 7.5739e-01 (7.6729e-01)	Loss TOTAL 1.1547e+00 (1.1861e+00)
Epoch: [5][ 50/112]	L_Src_Sup 4.0051e-01 (2.0479e-01)	L_Trg_Inj 4.6120e-01 (4.4714e-01)	Loss Disc 6.8376e-01 (6.8505e-01)	Loss Pred 7.3774e-01 (7.6244e-01)	Loss TOTAL 1.1658e+00 (1.1840e+00)
Epoch: [5][ 60/112]	L_Src_Sup 3.7550e-01 (2.0943e-01)	L_Trg_Inj 3.7124e-01 (4.5948e-01)	Loss Disc 6.8872e-01 (6.8461e-01)	Loss Pred 7.3364e-01 (7.5791e-01)	Loss TOTAL 1.1569e+00 (1.1787e+00)
Epoch: [5][ 70/112]	L_Src_Sup 2.2263e-01 (2.0767e-01)	L_Trg_Inj 5.3068e-01 (4.5973e-01)	Loss Disc 6.8211e-01 (6.8467e-01)	Loss Pred 6.9624e-01 (7.5347e-01)	Loss TOTAL 1.1126e+00 (1.1760e+00)
Epoch: [5][ 80/112]	L_Src_Sup 0.0000e+00 (2.0264e-01)	L_Trg_Inj 3.6637e-01 (4.6548e-01)	Loss Disc 6.8897e-01 (6.8451e-01)	Loss Pred 7.0075e-01 (7.4933e-01)	Loss TOTAL 1.0819e+00 (1.1701e+00)
Epoch: [5][ 90/112]	L_Src_Sup 2.5012e-01 (2.0311e-01)	L_Trg_Inj 3.9175e-01 (4.6906e-01)	Loss Disc 6.8870e-01 (6.8435e-01)	Loss Pred 7.1065e-01 (7.4451e-01)	Loss TOTAL 1.1192e+00 (1.1646e+00)
Epoch: [5][100/112]	L_Src_Sup 5.0064e-01 (2.0000e-01)	L_Trg_Inj 4.8574e-01 (4.7372e-01)	Loss Disc 6.8326e-01 (6.8419e-01)	Loss Pred 6.8458e-01 (7.4053e-01)	Loss TOTAL 1.1398e+00 (1.1598e+00)
Epoch: [5][110/112]	L_Src_Sup 2.1056e-01 (1.9843e-01)	L_Trg_Inj 3.9493e-01 (4.7107e-01)	Loss Disc 6.8769e-01 (6.8433e-01)	Loss Pred 7.1019e-01 (7.3706e-01)	Loss TOTAL 1.1146e+00 (1.1564e+00)
Epoch: [5][112/112]	L_Src_Sup 1.2506e-01 (1.9770e-01)	L_Trg_Inj 4.4054e-01 (4.7066e-01)	Loss Disc 6.8613e-01 (6.8435e-01)	Loss Pred 6.9447e-01 (7.3652e-01)	Loss TOTAL 1.0941e+00 (1.1555e+00)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 2.1064e-01 (2.1918e-01)	L_Trg_Inj 5.3290e-01 (4.7216e-01)	Loss Disc 6.8273e-01 (6.8507e-01)	Loss Pred 7.0238e-01 (6.9428e-01)	Loss TOTAL 1.1181e+00 (1.1099e+00)
Epoch: [6][ 20/112]	L_Src_Sup 0.0000e+00 (1.5551e-01)	L_Trg_Inj 3.6047e-01 (4.7083e-01)	Loss Disc 6.8578e-01 (6.8468e-01)	Loss Pred 6.4031e-01 (6.8759e-01)	Loss TOTAL 1.0192e+00 (1.0946e+00)
Epoch: [6][ 30/112]	L_Src_Sup 1.1279e-01 (1.6922e-01)	L_Trg_Inj 2.2277e-01 (4.2213e-01)	Loss Disc 6.8739e-01 (6.8653e-01)	Loss Pred 6.8809e-01 (6.8638e-01)	Loss TOTAL 1.0653e+00 (1.1035e+00)
Epoch: [6][ 40/112]	L_Src_Sup 1.0528e-01 (1.8798e-01)	L_Trg_Inj 4.2756e-01 (3.9544e-01)	Loss Disc 6.8525e-01 (6.8669e-01)	Loss Pred 6.8578e-01 (6.8075e-01)	Loss TOTAL 1.0817e+00 (1.1063e+00)
Epoch: [6][ 50/112]	L_Src_Sup 2.3537e-01 (2.0044e-01)	L_Trg_Inj 1.8655e-01 (3.6781e-01)	Loss Disc 6.8753e-01 (6.8674e-01)	Loss Pred 6.6722e-01 (6.7833e-01)	Loss TOTAL 1.1020e+00 (1.1206e+00)
