Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [4][ 20/112]	L_Src_Sup 4.6039e-01 (2.0776e-01)	L_Trg_Inj 6.6413e-01 (4.4290e-01)	Loss Disc 6.8688e-01 (6.8802e-01)	Loss Pred 8.5905e-01 (8.6791e-01)	Loss TOTAL 1.3149e+00 (1.2898e+00)
Epoch: [4][ 30/112]	L_Src_Sup 1.3326e-01 (2.2639e-01)	L_Trg_Inj 4.3299e-01 (4.4828e-01)	Loss Disc 6.8869e-01 (6.8820e-01)	Loss Pred 8.4729e-01 (8.6352e-01)	Loss TOTAL 1.2483e+00 (1.2837e+00)
Epoch: [4][ 40/112]	L_Src_Sup 5.7497e-01 (2.2561e-01)	L_Trg_Inj 5.5955e-01 (4.4882e-01)	Loss Disc 6.8742e-01 (6.8834e-01)	Loss Pred 8.4576e-01 (8.5883e-01)	Loss TOTAL 1.3183e+00 (1.2834e+00)
Epoch: [4][ 50/112]	L_Src_Sup 0.0000e+00 (2.2054e-01)	L_Trg_Inj 3.3947e-01 (4.4688e-01)	Loss Disc 6.8897e-01 (6.8802e-01)	Loss Pred 8.2519e-01 (8.5333e-01)	Loss TOTAL 1.2036e+00 (1.2764e+00)
Epoch: [4][ 60/112]	L_Src_Sup 1.9058e-01 (2.2237e-01)	L_Trg_Inj 4.0628e-01 (4.4359e-01)	Loss Disc 6.8763e-01 (6.8801e-01)	Loss Pred 8.3396e-01 (8.4915e-01)	Loss TOTAL 1.2375e+00 (1.2748e+00)
Epoch: [4][ 70/112]	L_Src_Sup 2.2199e-01 (2.1948e-01)	L_Trg_Inj 5.5474e-01 (4.4600e-01)	Loss Disc 6.8432e-01 (6.8780e-01)	Loss Pred 8.1725e-01 (8.4455e-01)	Loss TOTAL 1.2371e+00 (1.2679e+00)
Epoch: [4][ 80/112]	L_Src_Sup 0.0000e+00 (2.2211e-01)	L_Trg_Inj 4.2574e-01 (4.4713e-01)	Loss Disc 6.8997e-01 (6.8789e-01)	Loss Pred 8.0171e-01 (8.4043e-01)	Loss TOTAL 1.1893e+00 (1.2634e+00)
Epoch: [4][ 90/112]	L_Src_Sup 3.9972e-01 (2.2049e-01)	L_Trg_Inj 4.3267e-01 (4.4643e-01)	Loss Disc 6.8839e-01 (6.8790e-01)	Loss Pred 7.9110e-01 (8.3563e-01)	Loss TOTAL 1.2185e+00 (1.2597e+00)
Epoch: [4][100/112]	L_Src_Sup 3.0771e-01 (2.1775e-01)	L_Trg_Inj 3.9334e-01 (4.3924e-01)	Loss Disc 6.8793e-01 (6.8809e-01)	Loss Pred 7.7606e-01 (8.3129e-01)	Loss TOTAL 1.1901e+00 (1.2531e+00)
Epoch: [4][110/112]	L_Src_Sup 9.3250e-01 (2.2227e-01)	L_Trg_Inj 5.8203e-01 (4.4152e-01)	Loss Disc 6.8892e-01 (6.8819e-01)	Loss Pred 7.5474e-01 (8.2591e-01)	Loss TOTAL 1.6011e+00 (1.2540e+00)
