Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.219199755650582, std[0]=1.4933710387550707)
Loading Target Train...
Epoch: [2][110/140]	L_Src_Sup 2.6913e-01 (2.0950e-01)	L_Trg_Inj 3.1544e-01 (3.1266e-01)	Loss Disc 6.9364e-01 (6.8769e-01)	Loss Pred 7.2977e-01 (8.0815e-01)	Loss TOTAL 1.1350e+00 (1.2101e+00)
Epoch: [2][120/140]	L_Src_Sup 2.8533e-01 (2.0857e-01)	L_Trg_Inj 3.2116e-01 (3.1168e-01)	Loss Disc 6.9335e-01 (6.8818e-01)	Loss Pred 7.2211e-01 (8.0260e-01)	Loss TOTAL 1.1294e+00 (1.2044e+00)
Epoch: [2][130/140]	L_Src_Sup 2.6309e-01 (2.1142e-01)	L_Trg_Inj 1.9729e-01 (3.1133e-01)	Loss Disc 6.9350e-01 (6.8858e-01)	Loss Pred 7.5837e-01 (7.9828e-01)	Loss TOTAL 1.2170e+00 (1.2012e+00)
Epoch: [2][140/140]	L_Src_Sup 2.3276e-01 (2.1172e-01)	L_Trg_Inj 2.4770e-01 (3.1241e-01)	Loss Disc 6.9343e-01 (6.8893e-01)	Loss Pred 7.3103e-01 (7.9327e-01)	Loss TOTAL 1.1258e+00 (1.1961e+00)
Epoch: [2][140/140]	L_Src_Sup 2.3276e-01 (2.1172e-01)	L_Trg_Inj 2.4770e-01 (3.1241e-01)	Loss Disc 6.9343e-01 (6.8893e-01)	Loss Pred 7.3103e-01 (7.9327e-01)	Loss TOTAL 1.1258e+00 (1.1961e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/140]	L_Src_Sup 2.5182e-01 (2.0930e-01)	L_Trg_Inj 4.0881e-01 (3.1893e-01)	Loss Disc 6.9300e-01 (6.9329e-01)	Loss Pred 7.2267e-01 (7.2343e-01)	Loss TOTAL 1.1352e+00 (1.1383e+00)
Epoch: [3][ 20/140]	L_Src_Sup 1.6880e-01 (2.1611e-01)	L_Trg_Inj 2.3968e-01 (3.0630e-01)	Loss Disc 6.9318e-01 (6.9324e-01)	Loss Pred 7.0516e-01 (7.2489e-01)	Loss TOTAL 1.0926e+00 (1.1315e+00)
Epoch: [3][ 30/140]	L_Src_Sup 1.8014e-01 (2.1800e-01)	L_Trg_Inj 3.6827e-01 (3.2661e-01)	Loss Disc 6.9308e-01 (6.9325e-01)	Loss Pred 7.1634e-01 (7.2185e-01)	Loss TOTAL 1.1177e+00 (1.1281e+00)
Epoch: [3][ 40/140]	L_Src_Sup 1.8358e-01 (2.1934e-01)	L_Trg_Inj 2.7506e-01 (3.1891e-01)	Loss Disc 6.9381e-01 (6.9330e-01)	Loss Pred 6.5656e-01 (7.1703e-01)	Loss TOTAL 1.0493e+00 (1.1214e+00)
Epoch: [3][ 50/140]	L_Src_Sup 1.5390e-01 (2.1364e-01)	L_Trg_Inj 3.4132e-01 (3.1236e-01)	Loss Disc 6.9329e-01 (6.9329e-01)	Loss Pred 6.8710e-01 (7.1667e-01)	Loss TOTAL 1.0833e+00 (1.1207e+00)
Epoch: [3][ 60/140]	L_Src_Sup 2.2547e-01 (2.1328e-01)	L_Trg_Inj 4.4777e-01 (3.0985e-01)	Loss Disc 6.9238e-01 (6.9327e-01)	Loss Pred 7.3670e-01 (7.1289e-01)	Loss TOTAL 1.1502e+00 (1.1164e+00)
Epoch: [3][ 70/140]	L_Src_Sup 2.7816e-01 (2.1295e-01)	L_Trg_Inj 3.0422e-01 (3.0744e-01)	Loss Disc 6.9308e-01 (6.9324e-01)	Loss Pred 7.0118e-01 (7.1077e-01)	Loss TOTAL 1.1060e+00 (1.1148e+00)
Epoch: [3][ 80/140]	L_Src_Sup 1.6533e-01 (2.0966e-01)	L_Trg_Inj 3.7924e-01 (3.0775e-01)	Loss Disc 6.9161e-01 (6.9314e-01)	Loss Pred 7.2320e-01 (7.0808e-01)	Loss TOTAL 1.1235e+00 (1.1115e+00)
Epoch: [3][ 90/140]	L_Src_Sup 5.4721e-01 (2.3779e-01)	L_Trg_Inj 9.9819e-01 (3.4060e-01)	Loss Disc 6.7562e-01 (6.9233e-01)	Loss Pred 7.3395e-01 (7.0616e-01)	Loss TOTAL 1.2263e+00 (1.1234e+00)
Epoch: [3][100/140]	L_Src_Sup 1.7705e-01 (2.3461e-01)	L_Trg_Inj 7.4253e-01 (3.8925e-01)	Loss Disc 6.5605e-01 (6.8935e-01)	Loss Pred 6.7134e-01 (7.0502e-01)	Loss TOTAL 1.0913e+00 (1.1240e+00)
Epoch: [3][110/140]	L_Src_Sup 2.0332e-01 (2.3172e-01)	L_Trg_Inj 8.5024e-01 (4.3204e-01)	Loss Disc 6.6230e-01 (6.8696e-01)	Loss Pred 6.9586e-01 (7.0291e-01)	Loss TOTAL 1.1324e+00 (1.1236e+00)
Epoch: [3][120/140]	L_Src_Sup 2.6466e-01 (2.3279e-01)	L_Trg_Inj 8.6321e-01 (4.6223e-01)	Loss Disc 6.5385e-01 (6.8498e-01)	Loss Pred 6.5427e-01 (6.9967e-01)	Loss TOTAL 1.0940e+00 (1.1216e+00)
Epoch: [3][130/140]	L_Src_Sup 2.0479e-01 (2.3350e-01)	L_Trg_Inj 3.6957e-01 (4.6976e-01)	Loss Disc 6.7224e-01 (6.8373e-01)	Loss Pred 6.4631e-01 (6.9766e-01)	Loss TOTAL 1.0399e+00 (1.1190e+00)
Epoch: [3][140/140]	L_Src_Sup 2.7363e-01 (2.3305e-01)	L_Trg_Inj 7.5221e-01 (4.6829e-01)	Loss Disc 6.6418e-01 (6.8257e-01)	Loss Pred 6.1964e-01 (6.9490e-01)	Loss TOTAL 1.0543e+00 (1.1150e+00)
Epoch: [3][140/140]	L_Src_Sup 2.7363e-01 (2.3305e-01)	L_Trg_Inj 7.5221e-01 (4.6829e-01)	Loss Disc 6.6418e-01 (6.8257e-01)	Loss Pred 6.1964e-01 (6.9490e-01)	Loss TOTAL 1.0543e+00 (1.1150e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/140]	L_Src_Sup 1.7951e-01 (1.7440e-01)	L_Trg_Inj 3.3962e-01 (5.0540e-01)	Loss Disc 6.6319e-01 (6.6663e-01)	Loss Pred 6.4441e-01 (6.5747e-01)	Loss TOTAL 1.0279e+00 (1.0588e+00)
Epoch: [4][ 20/140]	L_Src_Sup 2.0930e-01 (2.0609e-01)	L_Trg_Inj 4.2764e-01 (4.2532e-01)	Loss Disc 6.6204e-01 (6.6581e-01)	Loss Pred 6.3194e-01 (6.5482e-01)	Loss TOTAL 1.0267e+00 (1.0547e+00)
Epoch: [4][ 30/140]	L_Src_Sup 1.5306e-01 (2.0443e-01)	L_Trg_Inj 3.3830e-01 (3.9352e-01)	Loss Disc 6.5468e-01 (6.6465e-01)	Loss Pred 6.6803e-01 (6.5533e-01)	Loss TOTAL 1.0445e+00 (1.0500e+00)
Epoch: [4][ 40/140]	L_Src_Sup 2.6529e-01 (2.1384e-01)	L_Trg_Inj 3.4775e-01 (3.6167e-01)	Loss Disc 6.5851e-01 (6.6539e-01)	Loss Pred 6.3428e-01 (6.5543e-01)	Loss TOTAL 1.0248e+00 (1.0514e+00)
Epoch: [4][ 50/140]	L_Src_Sup 1.5821e-01 (2.0903e-01)	L_Trg_Inj 2.4097e-01 (3.5156e-01)	Loss Disc 6.6532e-01 (6.6544e-01)	Loss Pred 6.4672e-01 (6.5418e-01)	Loss TOTAL 1.0193e+00 (1.0475e+00)
Epoch: [4][ 60/140]	L_Src_Sup 2.0720e-01 (2.1375e-01)	L_Trg_Inj 2.8039e-01 (3.4629e-01)	Loss Disc 6.6416e-01 (6.6510e-01)	Loss Pred 6.1464e-01 (6.5280e-01)	Loss TOTAL 9.9547e-01 (1.0453e+00)
