Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [3][ 40/112]	L_Src_Sup 1.8636e-01 (2.0499e-01)	L_Trg_Inj 1.5331e-01 (3.2782e-01)	Loss Disc 6.9379e-01 (6.9297e-01)	Loss Pred 1.0095e+00 (9.6398e-01)	Loss TOTAL 1.4234e+00 (1.3686e+00)
Epoch: [3][ 50/112]	L_Src_Sup 1.9022e-01 (2.0113e-01)	L_Trg_Inj 3.6429e-01 (3.2299e-01)	Loss Disc 6.9330e-01 (6.9304e-01)	Loss Pred 9.6570e-01 (9.6544e-01)	Loss TOTAL 1.3678e+00 (1.3686e+00)
Epoch: [3][ 60/112]	L_Src_Sup 1.9124e-01 (1.9931e-01)	L_Trg_Inj 3.9451e-01 (3.1685e-01)	Loss Disc 6.9321e-01 (6.9305e-01)	Loss Pred 9.6986e-01 (9.6356e-01)	Loss TOTAL 1.3750e+00 (1.3653e+00)
Epoch: [3][ 70/112]	L_Src_Sup 1.5505e-01 (1.9878e-01)	L_Trg_Inj 2.5318e-01 (3.1855e-01)	Loss Disc 6.9234e-01 (6.9304e-01)	Loss Pred 9.2977e-01 (9.6339e-01)	Loss TOTAL 1.3168e+00 (1.3661e+00)
Epoch: [3][ 80/112]	L_Src_Sup 1.8828e-01 (1.9667e-01)	L_Trg_Inj 2.3354e-01 (3.2427e-01)	Loss Disc 6.8754e-01 (6.9269e-01)	Loss Pred 9.0841e-01 (9.6259e-01)	Loss TOTAL 1.2944e+00 (1.3650e+00)
Epoch: [3][ 90/112]	L_Src_Sup 2.1440e-01 (1.9688e-01)	L_Trg_Inj 3.4626e-01 (3.2625e-01)	Loss Disc 6.8726e-01 (6.9183e-01)	Loss Pred 9.5955e-01 (9.5986e-01)	Loss TOTAL 1.3592e+00 (1.3625e+00)
Epoch: [3][100/112]	L_Src_Sup 1.9658e-01 (1.9753e-01)	L_Trg_Inj 3.1500e-01 (3.2718e-01)	Loss Disc 6.9444e-01 (6.9185e-01)	Loss Pred 8.9852e-01 (9.5766e-01)	Loss TOTAL 1.2969e+00 (1.3604e+00)
Epoch: [3][110/112]	L_Src_Sup 1.2768e-01 (2.0036e-01)	L_Trg_Inj 3.4079e-01 (3.2608e-01)	Loss Disc 6.9202e-01 (6.9196e-01)	Loss Pred 9.1427e-01 (9.5611e-01)	Loss TOTAL 1.3071e+00 (1.3599e+00)
Epoch: [3][112/112]	L_Src_Sup 2.1627e-01 (2.0003e-01)	L_Trg_Inj 3.1790e-01 (3.2772e-01)	Loss Disc 6.9059e-01 (6.9193e-01)	Loss Pred 9.5448e-01 (9.5589e-01)	Loss TOTAL 1.3532e+00 (1.3597e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 3.5595e-01 (2.2289e-01)	L_Trg_Inj 1.3863e-01 (3.1501e-01)	Loss Disc 7.0670e-01 (6.9752e-01)	Loss Pred 9.6721e-01 (9.1995e-01)	Loss TOTAL 1.5873e+00 (1.3442e+00)
Epoch: [4][ 20/112]	L_Src_Sup 2.1034e-01 (2.1208e-01)	L_Trg_Inj 3.6790e-01 (5.3873e-01)	Loss Disc 6.9313e-01 (6.9781e-01)	Loss Pred 9.2497e-01 (9.2754e-01)	Loss TOTAL 1.3294e+00 (1.3637e+00)
Epoch: [4][ 30/112]	L_Src_Sup 3.7664e-01 (2.1735e-01)	L_Trg_Inj 2.6195e-01 (4.7307e-01)	Loss Disc 6.9233e-01 (6.9614e-01)	Loss Pred 8.6578e-01 (9.1430e-01)	Loss TOTAL 1.3905e+00 (1.3438e+00)
Epoch: [4][ 40/112]	L_Src_Sup 1.9090e-01 (2.2534e-01)	L_Trg_Inj 4.1119e-01 (4.6113e-01)	Loss Disc 6.9314e-01 (6.9539e-01)	Loss Pred 9.1994e-01 (9.1060e-01)	Loss TOTAL 1.3267e+00 (1.3362e+00)
Epoch: [4][ 50/112]	L_Src_Sup 2.7117e-01 (2.1838e-01)	L_Trg_Inj 7.8856e-01 (4.3079e-01)	Loss Disc 6.9985e-01 (6.9537e-01)	Loss Pred 8.4985e-01 (9.0014e-01)	Loss TOTAL 1.3057e+00 (1.3212e+00)
Epoch: [4][ 60/112]	L_Src_Sup 1.1130e-01 (2.1672e-01)	L_Trg_Inj 3.6989e-01 (4.1777e-01)	Loss Disc 6.9181e-01 (6.9493e-01)	Loss Pred 8.2975e-01 (8.9296e-01)	Loss TOTAL 1.2238e+00 (1.3114e+00)
Epoch: [4][ 70/112]	L_Src_Sup 2.6540e-01 (2.1381e-01)	L_Trg_Inj 5.1951e-01 (4.0649e-01)	Loss Disc 6.8681e-01 (6.9410e-01)	Loss Pred 8.2504e-01 (8.8460e-01)	Loss TOTAL 1.2469e+00 (1.3005e+00)
Epoch: [4][ 80/112]	L_Src_Sup 1.8368e-01 (2.1249e-01)	L_Trg_Inj 4.3332e-01 (4.0261e-01)	Loss Disc 7.0825e-01 (6.9460e-01)	Loss Pred 8.0697e-01 (8.7778e-01)	Loss TOTAL 1.2228e+00 (1.2934e+00)
Epoch: [4][ 90/112]	L_Src_Sup 1.9549e-01 (2.1303e-01)	L_Trg_Inj 3.3388e-01 (3.9283e-01)	Loss Disc 6.9654e-01 (6.9546e-01)	Loss Pred 7.8838e-01 (8.7172e-01)	Loss TOTAL 1.1896e+00 (1.2864e+00)
Epoch: [4][100/112]	L_Src_Sup 1.6965e-01 (2.1080e-01)	L_Trg_Inj 3.9518e-01 (3.8577e-01)	Loss Disc 6.9527e-01 (6.9549e-01)	Loss Pred 8.1218e-01 (8.6503e-01)	Loss TOTAL 1.2163e+00 (1.2783e+00)
Epoch: [4][110/112]	L_Src_Sup 2.6139e-01 (2.1619e-01)	L_Trg_Inj 3.2267e-01 (3.8818e-01)	Loss Disc 6.9410e-01 (6.9539e-01)	Loss Pred 8.4074e-01 (8.6272e-01)	Loss TOTAL 1.2462e+00 (1.2766e+00)
Epoch: [4][112/112]	L_Src_Sup 2.5253e-01 (2.1608e-01)	L_Trg_Inj 3.4222e-01 (3.8858e-01)	Loss Disc 6.9383e-01 (6.9536e-01)	Loss Pred 8.0663e-01 (8.6184e-01)	Loss TOTAL 1.2130e+00 (1.2757e+00)
Epoch 4 complete. Saving model state...
