Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [6][100/112]	L_Src_Sup 2.4580e-01 (2.0526e-01)	L_Trg_Inj 2.6260e-01 (2.8767e-01)	Loss Disc 6.9112e-01 (6.9201e-01)	Loss Pred 4.7609e-01 (4.9092e-01)	Loss TOTAL 8.7249e-01 (8.9352e-01)
Epoch: [6][110/112]	L_Src_Sup 2.4426e-01 (2.0441e-01)	L_Trg_Inj 2.8012e-01 (2.8650e-01)	Loss Disc 6.9167e-01 (6.9200e-01)	Loss Pred 5.1932e-01 (4.9023e-01)	Loss TOTAL 9.1760e-01 (8.9292e-01)
Epoch: [6][112/112]	L_Src_Sup 2.5372e-01 (2.0430e-01)	L_Trg_Inj 2.7999e-01 (2.8652e-01)	Loss Disc 6.9331e-01 (6.9202e-01)	Loss Pred 4.9430e-01 (4.9019e-01)	Loss TOTAL 8.9433e-01 (8.9275e-01)
Epoch 6 complete. Saving model state...
Epoch: [7][ 10/112]	L_Src_Sup 1.4323e-01 (1.7551e-01)	L_Trg_Inj 1.8623e-01 (2.8954e-01)	Loss Disc 6.9362e-01 (6.9295e-01)	Loss Pred 4.8779e-01 (4.8681e-01)	Loss TOTAL 8.6755e-01 (8.8064e-01)
Epoch: [7][ 20/112]	L_Src_Sup 2.1677e-01 (2.0276e-01)	L_Trg_Inj 2.9360e-01 (2.9916e-01)	Loss Disc 6.9129e-01 (6.9240e-01)	Loss Pred 4.5654e-01 (4.8862e-01)	Loss TOTAL 8.5322e-01 (8.8770e-01)
Epoch: [7][ 30/112]	L_Src_Sup 1.8250e-01 (1.9989e-01)	L_Trg_Inj 3.4308e-01 (3.0026e-01)	Loss Disc 6.9044e-01 (6.9206e-01)	Loss Pred 4.9983e-01 (4.8993e-01)	Loss TOTAL 8.9761e-01 (8.8811e-01)
Epoch: [7][ 40/112]	L_Src_Sup 1.8206e-01 (1.9930e-01)	L_Trg_Inj 2.4971e-01 (2.9815e-01)	Loss Disc 6.8933e-01 (6.9150e-01)	Loss Pred 5.0021e-01 (4.9120e-01)	Loss TOTAL 8.8805e-01 (8.8830e-01)
Epoch: [7][ 50/112]	L_Src_Sup 1.9740e-01 (1.9429e-01)	L_Trg_Inj 2.6083e-01 (2.9571e-01)	Loss Disc 6.9264e-01 (6.9191e-01)	Loss Pred 4.8756e-01 (4.8990e-01)	Loss TOTAL 8.7971e-01 (8.8677e-01)
Epoch: [7][ 60/112]	L_Src_Sup 2.0251e-01 (1.9373e-01)	L_Trg_Inj 2.3209e-01 (2.9220e-01)	Loss Disc 6.9406e-01 (6.9177e-01)	Loss Pred 5.0612e-01 (4.9015e-01)	Loss TOTAL 8.9661e-01 (8.8712e-01)
Epoch: [7][ 70/112]	L_Src_Sup 3.3227e-01 (2.0004e-01)	L_Trg_Inj 2.8419e-01 (2.8844e-01)	Loss Disc 6.9305e-01 (6.9185e-01)	Loss Pred 4.4495e-01 (4.8792e-01)	Loss TOTAL 9.0120e-01 (8.8866e-01)
Epoch: [7][ 80/112]	L_Src_Sup 1.3702e-01 (2.0292e-01)	L_Trg_Inj 3.1179e-01 (2.9080e-01)	Loss Disc 6.9114e-01 (6.9184e-01)	Loss Pred 4.5622e-01 (4.8677e-01)	Loss TOTAL 8.4667e-01 (8.8781e-01)
