Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.433720529987505, std[0]=0.22055395733663094)
Loading Target Train...
Epoch: [5][ 50/112]	L_Src_Sup 0.0000e+00 (1.9650e-01)	L_Trg_Inj 6.8437e-01 (4.2284e-01)	Loss Disc 6.8830e-01 (6.9003e-01)	Loss Pred 7.4796e-01 (7.7411e-01)	Loss TOTAL 1.1605e+00 (1.1898e+00)
Epoch: [5][ 60/112]	L_Src_Sup 1.4326e-01 (1.9489e-01)	L_Trg_Inj 4.8314e-01 (4.2682e-01)	Loss Disc 6.8900e-01 (6.9006e-01)	Loss Pred 7.3870e-01 (7.7003e-01)	Loss TOTAL 1.1458e+00 (1.1845e+00)
Epoch: [5][ 70/112]	L_Src_Sup 1.6732e-01 (1.9334e-01)	L_Trg_Inj 4.4796e-01 (4.2298e-01)	Loss Disc 6.9108e-01 (6.9018e-01)	Loss Pred 7.2336e-01 (7.6555e-01)	Loss TOTAL 1.1304e+00 (1.1792e+00)
Epoch: [5][ 80/112]	L_Src_Sup 0.0000e+00 (1.9548e-01)	L_Trg_Inj 6.1132e-01 (4.3529e-01)	Loss Disc 6.8556e-01 (6.8992e-01)	Loss Pred 7.2661e-01 (7.6157e-01)	Loss TOTAL 1.1305e+00 (1.1760e+00)
Epoch: [5][ 90/112]	L_Src_Sup 0.0000e+00 (1.9647e-01)	L_Trg_Inj 3.6418e-01 (4.4011e-01)	Loss Disc 6.9041e-01 (6.8972e-01)	Loss Pred 7.2762e-01 (7.5741e-01)	Loss TOTAL 1.1092e+00 (1.1716e+00)
Epoch: [5][100/112]	L_Src_Sup 2.5061e-01 (1.9803e-01)	L_Trg_Inj 4.6723e-01 (4.4427e-01)	Loss Disc 6.8959e-01 (6.8959e-01)	Loss Pred 7.1615e-01 (7.5418e-01)	Loss TOTAL 1.1327e+00 (1.1696e+00)
Epoch: [5][110/112]	L_Src_Sup 0.0000e+00 (1.9558e-01)	L_Trg_Inj 4.7754e-01 (4.4360e-01)	Loss Disc 6.8880e-01 (6.8956e-01)	Loss Pred 7.2248e-01 (7.5004e-01)	Loss TOTAL 1.1146e+00 (1.1645e+00)
Epoch: [5][112/112]	L_Src_Sup 3.6374e-01 (1.9733e-01)	L_Trg_Inj 4.5160e-01 (4.4362e-01)	Loss Disc 6.8902e-01 (6.8956e-01)	Loss Pred 6.8463e-01 (7.4916e-01)	Loss TOTAL 1.1107e+00 (1.1637e+00)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 2.6710e-01 (2.0641e-01)	L_Trg_Inj 4.6696e-01 (3.9683e-01)	Loss Disc 6.8785e-01 (6.9030e-01)	Loss Pred 6.9569e-01 (7.0638e-01)	Loss TOTAL 1.1130e+00 (1.1151e+00)
Epoch: [6][ 20/112]	L_Src_Sup 0.0000e+00 (1.4620e-01)	L_Trg_Inj 3.2508e-01 (4.0245e-01)	Loss Disc 6.9096e-01 (6.9005e-01)	Loss Pred 6.8383e-01 (7.0098e-01)	Loss TOTAL 1.0618e+00 (1.1025e+00)
Epoch: [6][ 30/112]	L_Src_Sup 3.1586e-01 (1.6376e-01)	L_Trg_Inj 3.6098e-01 (3.9930e-01)	Loss Disc 6.9109e-01 (6.9025e-01)	Loss Pred 7.0161e-01 (6.9842e-01)	Loss TOTAL 1.1148e+00 (1.1038e+00)
Epoch: [6][ 40/112]	L_Src_Sup 1.5388e-01 (1.6456e-01)	L_Trg_Inj 3.3056e-01 (3.9470e-01)	Loss Disc 6.9064e-01 (6.9018e-01)	Loss Pred 6.6483e-01 (6.9586e-01)	Loss TOTAL 1.0586e+00 (1.1009e+00)
