Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.575468652545966, std[0]=0.9216816724284855)
Loading Target Train...
Epoch: [1][ 90/313]	L_Src_Sup 2.4325e-01 (2.4057e-01)	L_Trg_Inj 2.0777e-01 (4.0450e-01)	Loss Disc 6.8955e-01 (6.7817e-01)	Loss Pred 8.9733e-01 (9.2034e-01)	Loss TOTAL 1.3227e+00 (1.3273e+00)
Epoch: [1][100/313]	L_Src_Sup 1.3974e-01 (2.3819e-01)	L_Trg_Inj 2.6810e-01 (4.0123e-01)	Loss Disc 6.9514e-01 (6.7992e-01)	Loss Pred 8.6342e-01 (9.1466e-01)	Loss TOTAL 1.2518e+00 (1.3216e+00)
Epoch: [1][110/313]	L_Src_Sup 2.1049e-01 (2.3909e-01)	L_Trg_Inj 2.3856e-01 (3.9049e-01)	Loss Disc 6.8668e-01 (6.8142e-01)	Loss Pred 8.4742e-01 (9.0925e-01)	Loss TOTAL 1.2357e+00 (1.3161e+00)
Epoch: [1][120/313]	L_Src_Sup 3.0444e-01 (2.4207e-01)	L_Trg_Inj 3.6350e-01 (3.8851e-01)	Loss Disc 6.8547e-01 (6.8221e-01)	Loss Pred 8.4903e-01 (9.0442e-01)	Loss TOTAL 1.2586e+00 (1.3120e+00)
Epoch: [1][130/313]	L_Src_Sup 2.0997e-01 (2.4169e-01)	L_Trg_Inj 2.5801e-01 (3.8693e-01)	Loss Disc 6.8624e-01 (6.8287e-01)	Loss Pred 8.4980e-01 (8.9960e-01)	Loss TOTAL 1.2397e+00 (1.3070e+00)
Epoch: [1][140/313]	L_Src_Sup 2.4033e-01 (2.4112e-01)	L_Trg_Inj 3.5255e-01 (3.8069e-01)	Loss Disc 6.9079e-01 (6.8357e-01)	Loss Pred 8.3384e-01 (8.9454e-01)	Loss TOTAL 1.2385e+00 (1.3023e+00)
Epoch: [1][150/313]	L_Src_Sup 2.3400e-01 (2.3999e-01)	L_Trg_Inj 2.3662e-01 (3.7556e-01)	Loss Disc 6.9704e-01 (6.8419e-01)	Loss Pred 8.2631e-01 (8.8993e-01)	Loss TOTAL 1.2219e+00 (1.2972e+00)
Epoch: [1][160/313]	L_Src_Sup 1.8009e-01 (2.3794e-01)	L_Trg_Inj 3.2350e-01 (3.6972e-01)	Loss Disc 6.9344e-01 (6.8474e-01)	Loss Pred 8.1668e-01 (8.8561e-01)	Loss TOTAL 1.2138e+00 (1.2926e+00)
Epoch: [1][170/313]	L_Src_Sup 2.8899e-01 (2.3815e-01)	L_Trg_Inj 2.8366e-01 (3.6514e-01)	Loss Disc 6.9315e-01 (6.8522e-01)	Loss Pred 8.3222e-01 (8.8193e-01)	Loss TOTAL 1.2414e+00 (1.2892e+00)
Epoch: [1][180/313]	L_Src_Sup 1.6238e-01 (2.3438e-01)	L_Trg_Inj 2.6852e-01 (3.6415e-01)	Loss Disc 6.9245e-01 (6.8544e-01)	Loss Pred 7.9528e-01 (8.7853e-01)	Loss TOTAL 1.1846e+00 (1.2852e+00)
Epoch: [1][190/313]	L_Src_Sup 2.7518e-01 (2.3332e-01)	L_Trg_Inj 2.6684e-01 (3.6068e-01)	Loss Disc 6.9158e-01 (6.8576e-01)	Loss Pred 8.2135e-01 (8.7523e-01)	Loss TOTAL 1.2297e+00 (1.2814e+00)
Epoch: [1][200/313]	L_Src_Sup 3.3015e-01 (2.3125e-01)	L_Trg_Inj 1.7638e-01 (3.5671e-01)	Loss Disc 6.9522e-01 (6.8619e-01)	Loss Pred 7.7876e-01 (8.7158e-01)	Loss TOTAL 1.3308e+00 (1.2780e+00)
